Namespace(batch_size=32, class_choice='airplane', dataset='shapenetpart', dropout=0.5, emb_dims=1024, epochs=200, eval=False, exp_name='partseg_airplane', k=40, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=2048, scheduler='cos', seed=1, test_batch_size=16, use_sgd=True, visu='airplane_0', visu_format='ply')
Using GPU : 0 from 1 devices
Test 32, loss: 0.820065, test acc: 0.916583, test avg acc: 0.898118, test iou: 0.826254
Train 33, loss: 0.790162, train acc: 0.941944, train avg acc: 0.934831, train iou: 0.870222
Test 33, loss: 0.835108, test acc: 0.902221, test avg acc: 0.897411, test iou: 0.817436
Train 34, loss: 0.789810, train acc: 0.942199, train avg acc: 0.934760, train iou: 0.869571
Test 34, loss: 0.826858, test acc: 0.910403, test avg acc: 0.898725, test iou: 0.815139
Train 35, loss: 0.789713, train acc: 0.942338, train avg acc: 0.935180, train iou: 0.870296
Test 35, loss: 0.833279, test acc: 0.908674, test avg acc: 0.874532, test iou: 0.799127
Train 36, loss: 0.789542, train acc: 0.942547, train avg acc: 0.935156, train iou: 0.870057
Test 36, loss: 0.866709, test acc: 0.887373, test avg acc: 0.845540, test iou: 0.774774
Train 37, loss: 0.788776, train acc: 0.943104, train avg acc: 0.935596, train iou: 0.872699
Test 37, loss: 0.827455, test acc: 0.912404, test avg acc: 0.909103, test iou: 0.775883
Train 38, loss: 0.788330, train acc: 0.943632, train avg acc: 0.936141, train iou: 0.872615
Test 38, loss: 0.827885, test acc: 0.909878, test avg acc: 0.890738, test iou: 0.823356
Train 39, loss: 0.787999, train acc: 0.944009, train avg acc: 0.936357, train iou: 0.873447
Test 39, loss: 0.840468, test acc: 0.898253, test avg acc: 0.900776, test iou: 0.797684
Train 40, loss: 0.787419, train acc: 0.944513, train avg acc: 0.937341, train iou: 0.874669
Test 40, loss: 0.832862, test acc: 0.906957, test avg acc: 0.871423, test iou: 0.805122
Train 41, loss: 0.787361, train acc: 0.944434, train avg acc: 0.936559, train iou: 0.873564
Test 41, loss: 0.827712, test acc: 0.910726, test avg acc: 0.890301, test iou: 0.800118
Train 42, loss: 0.786717, train acc: 0.945235, train avg acc: 0.937511, train iou: 0.875142
Test 42, loss: 0.829780, test acc: 0.909545, test avg acc: 0.884018, test iou: 0.818465
Train 43, loss: 0.786058, train acc: 0.945622, train avg acc: 0.938754, train iou: 0.876618
Test 43, loss: 0.849855, test acc: 0.891368, test avg acc: 0.890349, test iou: 0.798387
Train 44, loss: 0.785768, train acc: 0.945948, train avg acc: 0.938801, train iou: 0.878187
Test 44, loss: 0.822040, test acc: 0.914158, test avg acc: 0.878763, test iou: 0.819130
Train 45, loss: 0.785105, train acc: 0.946591, train avg acc: 0.938853, train iou: 0.877613
Test 45, loss: 0.827086, test acc: 0.909528, test avg acc: 0.866518, test iou: 0.808047
Train 46, loss: 0.785456, train acc: 0.946193, train avg acc: 0.938974, train iou: 0.877244
Test 46, loss: 0.860004, test acc: 0.879289, test avg acc: 0.877147, test iou: 0.770525
Train 47, loss: 0.786079, train acc: 0.945641, train avg acc: 0.938351, train iou: 0.876135
Test 47, loss: 0.849012, test acc: 0.892080, test avg acc: 0.896700, test iou: 0.796409
Train 48, loss: 0.785423, train acc: 0.946081, train avg acc: 0.939126, train iou: 0.877644
Test 48, loss: 0.819219, test acc: 0.918287, test avg acc: 0.897034, test iou: 0.831911
Train 49, loss: 0.784355, train acc: 0.947070, train avg acc: 0.939695, train iou: 0.878969
Test 49, loss: 0.822781, test acc: 0.915433, test avg acc: 0.892704, test iou: 0.812653
Train 50, loss: 0.784734, train acc: 0.946907, train avg acc: 0.939307, train iou: 0.877834
Test 50, loss: 0.832982, test acc: 0.905053, test avg acc: 0.893403, test iou: 0.793165
Train 51, loss: 0.783816, train acc: 0.947604, train avg acc: 0.940621, train iou: 0.881545
Test 51, loss: 0.852296, test acc: 0.897349, test avg acc: 0.856951, test iou: 0.785027
Train 52, loss: 0.784386, train acc: 0.947119, train avg acc: 0.939519, train iou: 0.879530
Test 52, loss: 0.823460, test acc: 0.913719, test avg acc: 0.892321, test iou: 0.822231
Train 53, loss: 0.782824, train acc: 0.948603, train avg acc: 0.941269, train iou: 0.882862
Test 53, loss: 0.823844, test acc: 0.914244, test avg acc: 0.884662, test iou: 0.828942
Train 54, loss: 0.782253, train acc: 0.948927, train avg acc: 0.941729, train iou: 0.883330
Test 54, loss: 0.847732, test acc: 0.898370, test avg acc: 0.866311, test iou: 0.776896
Train 55, loss: 0.782469, train acc: 0.948784, train avg acc: 0.941402, train iou: 0.882928
Test 55, loss: 0.837699, test acc: 0.905611, test avg acc: 0.858808, test iou: 0.814044
Train 56, loss: 0.782486, train acc: 0.948683, train avg acc: 0.941351, train iou: 0.883229
